NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
0.3958,16.859,,,0.4018,12.934,,,0.7292,24.785,,,0.7083,25.125,,,0.7292,32.497,,,0.3617,3.7555
0.4028,16.859,,,0.4093,12.934,,,0.75,24.758,,,0.7292,25.148,,,0.7396,32.494,,,0.365,3.7634
0.4097,16.858,,,0.4167,12.933,,,0.7708,24.73,,,0.75,25.133,,,0.75,32.492,,,0.3683,3.7714
0.4167,16.858,,,0.4236,12.93,,,0.775,24.725,,,0.7708,25.118,,,0.7708,32.459,,,0.3717,3.7793
0.4271,16.853,,,0.4306,12.926,,,0.7917,24.704,,,0.775,25.116,,,0.775,32.453,,,0.375,3.7872
0.4375,16.848,,,0.4375,12.923,,,0.8125,24.678,,,0.7917,25.105,,,0.7917,32.428,,,0.3802,3.785
0.4479,16.843,,,0.4375,12.923,,,0.8333,24.651,,,0.8125,25.092,,,0.8125,32.397,,,0.3854,3.7828
0.4583,16.838,,,0.4444,12.92,,,0.8542,24.625,,,0.8333,25.079,,,0.8333,32.366,,,0.3906,3.7805
0.465,16.841,,,0.4491,12.917,,,0.875,24.598,,,0.8542,25.066,,,0.8542,32.334,,,0.3958,3.7783
0.4792,16.848,,,0.4583,12.913,,,0.8958,24.571,,,0.875,25.053,,,0.875,32.302,,,0.4062,3.7739
0.4896,16.867,,,0.465,12.916,,,0.9167,24.545,,,0.8958,25.04,,,0.8958,32.27,,,0.4167,3.7696
0.5,16.884,,,0.4721,12.92,,,0.93,24.528,,,0.9167,25.027,,,0.9167,32.238,,,0.4255,3.774
0.5104,17.006,,,0.4792,12.923,,,0.9375,24.518,,,0.93,25.019,,,0.93,32.217,,,0.4375,3.78
0.5208,17.128,,,0.4884,12.94,,,0.9583,24.492,,,0.9375,25.014,,,0.9375,32.205,,,0.4463,3.8068
0.5313,17.151,,,0.5,12.96,,,0.9792,24.466,,,0.9583,25.001,,,0.9583,32.173,,,0.4523,3.8252
0.5417,17.174,,,0.5093,13.068,,,1,24.44,,,0.9792,24.989,,,0.9792,32.142,,,0.4583,3.8437
