NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
6.487,16.598,,,8.5625,12.507,,,11.5,18.024,,,11.4167,20.258,,,11.0833,23.962,,,4.0147,7.1846
6.4935,16.597,,,8.5833,12.511,,,11.5208,18.008,,,11.4375,20.242,,,11.1042,23.95,,,4.0177,7.1835
6.5,16.596,,,8.5903,12.51,,,11.5417,17.991,,,11.4583,20.229,,,11.125,23.939,,,4.0208,7.1825
6.5,16.596,,,8.5972,12.508,,,11.5625,17.974,,,11.47,20.222,,,11.1458,23.927,,,4.0208,7.1825
6.51,16.594,,,8.6042,12.517,,,11.5833,17.956,,,11.4792,20.216,,,11.16,23.919,,,4.0228,7.1818
6.5136,16.594,,,8.6042,12.517,,,11.6042,17.94,,,11.5,20.202,,,11.1667,23.915,,,4.0252,7.181
6.5172,16.593,,,8.6065,12.517,,,11.625,17.925,,,11.5208,20.189,,,11.1875,23.904,,,4.0272,7.1803
6.5208,16.593,,,8.6096,12.516,,,11.6458,17.907,,,11.5417,20.174,,,11.2083,23.892,,,4.03,7.1793
6.5208,16.593,,,8.6134,12.515,,,11.6667,17.89,,,11.5625,20.159,,,11.2292,23.881,,,4.032,7.1786
6.5278,16.591,,,8.6192,12.514,,,11.6875,17.872,,,11.5833,20.144,,,11.25,23.869,,,4.0344,7.1778
6.5347,16.591,,,8.625,12.513,,,11.7083,17.851,,,11.6042,20.13,,,11.2708,23.857,,,4.0364,7.1771
6.5417,16.59,,,8.625,12.513,,,11.7292,17.83,,,11.625,20.118,,,11.2917,23.844,,,4.039,7.1762
6.5521,16.589,,,8.6319,12.511,,,11.75,17.813,,,11.6458,20.103,,,11.3125,23.831,,,4.0417,7.1753
6.5625,16.587,,,8.6389,12.51,,,11.7708,17.798,,,11.6667,20.089,,,11.315,23.83,,,4.0437,7.1746
6.5729,16.586,,,8.6458,12.508,,,11.78,17.791,,,11.6875,20.074,,,11.3333,23.818,,,4.0464,7.1737
6.5833,16.584,,,8.6458,12.508,,,11.7917,17.783,,,11.7083,20.058,,,11.3542,23.804,,,4.0496,7.1727
6.5903,16.583,,,8.6563,12.506,,,11.8125,17.77,,,11.7292,20.04,,,11.375,23.79,,,4.0516,7.172
6.5972,16.582,,,8.6667,12.504,,,11.8333,17.756,,,11.75,20.026,,,11.3958,23.776,,,4.0543,7.1712
6.6042,16.58,,,8.68,12.501,,,11.8542,17.743,,,11.7708,20.014,,,11.4167,23.762,,,4.0584,7.1699
6.6076,16.58,,,8.6875,12.509,,,11.875,17.729,,,11.78,20.008,,,11.4375,23.747,,,4.0604,7.1692
6.612,16.579,,,8.6875,12.509,,,11.8958,17.716,,,11.7917,20.002,,,11.4583,23.733,,,4.0625,7.1685
6.6185,16.578,,,8.691,12.509,,,11.9167,17.704,,,11.8125,19.991,,,11.47,23.725,,,4.0651,7.1677
6.625,16.577,,,8.6953,12.508,,,11.935,17.693,,,11.8333,19.98,,,11.4792,23.719,,,4.0687,7.1665
6.6319,16.576,,,8.7018,12.506,,,11.9375,17.691,,,11.8542,19.969,,,11.5,23.705,,,4.0736,7.1649
6.6366,16.575,,,8.7083,12.515,,,11.9583,17.679,,,11.875,19.958,,,11.5208,23.69,,,4.0756,7.1642
6.6412,16.575,,,8.7083,12.515,,,11.9792,17.668,,,11.8958,19.948,,,11.5417,23.675,,,4.0782,7.1633
6.6458,16.574,,,8.7103,12.515,,,12,17.656,,,11.9167,19.938,,,11.5625,23.659,,,4.0808,7.1625
6.6458,16.574,,,8.713,12.514,,,12.0208,17.645,,,11.9228,19.935,,,11.5833,23.644,,,4.0833,7.1616
6.6554,16.572,,,8.7163,12.514,,,12.0417,17.633,,,11.9289,19.932,,,11.6042,23.629,,,4.0875,7.1602
6.665,16.571,,,8.7206,12.513,,,12.0625,17.621,,,11.935,19.93,,,11.625,23.614,,,4.0931,7.1582
6.6667,16.57,,,8.7249,12.512,,,12.0833,17.61,,,11.9375,19.928,,,11.6458,23.598,,,4.0968,7.1568
6.6701,16.57,,,8.7292,12.511,,,12.09,17.606,,,11.9479,19.924,,,11.6667,23.582,,,4.1005,7.1555
6.6745,16.569,,,8.7361,12.509,,,12.1042,17.598,,,11.9583,19.919,,,11.6875,23.566,,,4.1025,7.1548
6.681,16.569,,,8.75,12.506,,,12.125,17.586,,,11.9688,19.914,,,11.7083,23.551,,,4.1042,7.1541
6.6875,16.568,,,8.7604,12.504,,,12.1458,17.574,,,11.9792,19.91,,,11.7292,23.535,,,4.1042,7.1541
6.6875,16.568,,,8.7708,12.512,,,12.1667,17.561,,,11.9861,19.907,,,11.75,23.52,,,4.1062,7.1535
6.6944,16.567,,,8.7917,12.507,,,12.1875,17.554,,,11.9931,19.904,,,11.7708,23.505,,,4.1089,7.1525
6.7014,16.566,,,8.8021,12.505,,,12.2083,17.544,,,12,19.901,,,11.78,23.498,,,4.1121,7.1514
6.7083,16.566,,,8.8125,12.502,,,12.2292,17.532,,,12.0104,19.896,,,11.7917,23.491,,,4.1164,7.15
6.7083,16.566,,,8.8333,12.497,,,12.245,17.524,,,12.0208,19.892,,,11.8125,23.477,,,4.1207,7.1485
6.7188,16.563,,,8.835,12.507,,,12.25,17.521,,,12.0278,19.889,,,11.8333,23.464,,,4.1227,7.1478
6.7292,16.561,,,8.8542,12.502,,,12.2708,17.51,,,12.0347,19.886,,,11.8542,23.45,,,4.125,7.1471
6.7326,16.561,,,8.8646,12.499,,,12.2917,17.498,,,12.0417,19.883,,,11.875,23.437,,,4.125,7.147
6.737,16.56,,,8.875,12.497,,,12.3125,17.485,,,12.0521,19.878,,,11.8958,23.424,,,4.127,7.1464
6.7435,16.559,,,8.8854,12.494,,,12.3333,17.473,,,12.0625,19.873,,,11.9167,23.411,,,4.1297,7.1455
6.75,16.558,,,8.8958,12.492,,,12.3542,17.46,,,12.0694,19.87,,,11.935,23.399,,,4.1329,7.1444
6.7569,16.557,,,8.9167,12.487,,,12.375,17.447,,,12.0764,19.867,,,11.9375,23.398,,,4.1372,7.1429
6.7616,16.557,,,8.9375,12.482,,,12.3958,17.434,,,12.0833,19.863,,,11.9583,23.385,,,4.1415,7.1414
6.7662,16.556,,,8.9583,12.477,,,12.4,17.431,,,12.09,19.86,,,11.9792,23.372,,,4.1458,7.14
6.7708,16.555,,,8.9792,12.5,,,12.4167,17.42,,,12.0947,19.858,,,12,23.359,,,4.1458,7.14
6.7778,16.554,,,8.9828,12.499,,,12.4375,17.406,,,12.0995,19.856,,,12.0208,23.346,,,4.1482,7.1392
6.7824,16.554,,,8.9864,12.498,,,12.4583,17.392,,,12.1042,19.854,,,12.0417,23.332,,,4.1512,7.1383
6.787,16.553,,,8.99,12.508,,,12.4792,17.379,,,12.1111,19.851,,,12.0625,23.318,,,4.1551,7.1371
6.7917,16.553,,,8.992,12.507,,,12.5,17.364,,,12.1158,19.849,,,12.0833,23.305,,,4.1571,7.1364
6.7917,16.553,,,8.994,12.506,,,12.5208,17.35,,,12.1204,19.846,,,12.09,23.3,,,4.1595,7.1357
6.7986,16.552,,,8.996,12.506,,,12.5417,17.336,,,12.125,19.844,,,12.1042,23.291,,,4.1631,7.1345
6.8056,16.551,,,8.998,12.505,,,12.555,17.326,,,12.1319,19.841,,,12.125,23.277,,,4.1667,7.1334
6.8125,16.55,,,9,12.515,,,12.5625,17.321,,,12.1366,19.839,,,12.1458,23.263,,,4.17,7.1339
6.8125,16.55,,,9.002,12.515,,,12.5833,17.306,,,12.1412,19.837,,,12.1667,23.25,,,4.175,7.1345
6.82,16.55,,,9.0041,12.514,,,12.6042,17.29,,,12.1458,19.835,,,12.1875,23.237,,,4.177,7.1348
6.8267,16.55,,,9.0062,12.514,,,12.625,17.276,,,12.1528,19.831,,,12.2083,23.224,,,4.1797,7.1351
6.8333,16.55,,,9.0086,12.513,,,12.6458,17.261,,,12.1574,19.829,,,12.2292,23.211,,,4.1823,7.1355
6.8333,16.55,,,9.0117,12.512,,,12.6667,17.246,,,12.1621,19.827,,,12.245,23.201,,,4.1843,7.1357
6.8438,16.549,,,9.0163,12.51,,,12.6875,17.231,,,12.1667,19.825,,,12.25,23.198,,,4.185,7.1358
6.8542,16.549,,,9.0208,12.509,,,12.7083,17.215,,,12.1727,19.823,,,12.2708,23.185,,,4.1875,7.1361
6.8646,16.548,,,9.0208,12.509,,,12.71,17.214,,,12.1801,19.821,,,12.2917,23.171,,,4.1895,7.1368
6.875,16.548,,,9.026,12.507,,,12.7292,17.201,,,12.1875,19.819,,,12.3125,23.157,,,4.1922,7.1379
6.8854,16.547,,,9.0339,12.504,,,12.75,17.188,,,12.1944,19.815,,,12.3333,23.142,,,4.1954,7.1392
6.8958,16.546,,,9.0417,12.502,,,12.7708,17.174,,,12.2083,19.808,,,12.3542,23.128,,,4.1997,7.1409
6.9028,16.546,,,9.0521,12.498,,,12.7917,17.161,,,12.2188,19.803,,,12.375,23.113,,,4.204,7.1426
6.9097,16.545,,,9.0625,12.495,,,12.8125,17.149,,,12.2292,19.799,,,12.3958,23.098,,,4.2083,7.1444
6.9167,16.545,,,9.0729,12.492,,,12.8333,17.138,,,12.2345,19.797,,,12.4,23.095,,,4.2135,7.1429
6.9167,16.545,,,9.0833,12.498,,,12.8542,17.127,,,12.2397,19.795,,,12.4167,23.082,,,4.2214,7.1407
6.9271,16.543,,,9.0903,12.496,,,12.865,17.122,,,12.245,19.793,,,12.4375,23.067,,,4.224,7.14
6.9375,16.542,,,9.0972,12.494,,,12.875,17.117,,,12.25,19.791,,,12.4583,23.052,,,4.2266,7.1392
6.9444,16.541,,,9.1042,12.492,,,12.8958,17.107,,,12.2535,19.789,,,12.4792,23.036,,,4.2292,7.1385
6.9514,16.54,,,9.1146,12.488,,,12.9167,17.096,,,12.2578,19.787,,,12.5,23.02,,,4.2292,7.1385
6.9583,16.539,,,9.125,12.485,,,12.9375,17.086,,,12.2643,19.784,,,12.5208,23.005,,,4.2312,7.1379
6.9583,16.539,,,9.135,12.482,,,12.9583,17.075,,,12.2708,19.782,,,12.5417,22.99,,,4.2339,7.137
6.975,16.536,,,9.145,12.478,,,12.9792,17.066,,,12.2778,19.779,,,12.555,22.979,,,4.2371,7.136
6.9792,16.536,,,9.1458,12.478,,,13,17.056,,,12.2824,19.776,,,12.5625,22.973,,,4.2414,7.1347
6.9861,16.535,,,9.1528,12.476,,,13.02,17.045,,,12.2871,19.774,,,12.5833,22.957,,,4.2457,7.1333
6.9931,16.535,,,9.1597,12.483,,,13.0208,17.045,,,12.2917,19.772,,,12.6042,22.941,,,4.25,7.132
7,16.534,,,9.162,12.482,,,13.0417,17.035,,,12.2986,19.769,,,12.625,22.925,,,4.25,7.132
7.0104,16.534,,,9.1644,12.481,,,13.0625,17.024,,,12.3033,19.767,,,12.6458,22.91,,,4.2523,7.1312
7.0208,16.534,,,9.1667,12.48,,,13.0833,17.013,,,12.3079,19.765,,,12.6667,22.894,,,4.2554,7.1302
7.0278,16.533,,,9.1667,12.48,,,13.1042,17.002,,,12.3125,19.763,,,12.6875,22.879,,,4.2593,7.129
7.0347,16.533,,,9.1687,12.48,,,13.125,16.992,,,12.3194,19.759,,,12.7083,22.863,,,4.265,7.1271
7.0417,16.533,,,9.1714,12.479,,,13.1458,16.982,,,12.3241,19.757,,,12.71,22.862,,,4.267,7.1264
7.0521,16.533,,,9.1746,12.478,,,13.1667,16.971,,,12.3287,19.755,,,12.7292,22.848,,,4.2708,7.1252
7.0625,16.532,,,9.1789,12.476,,,13.175,16.967,,,12.3333,19.753,,,12.75,22.832,,,4.2708,7.1252
7.0694,16.532,,,9.1832,12.475,,,13.1875,16.961,,,12.3403,19.75,,,12.7708,22.818,,,4.2728,7.1245
7.0764,16.532,,,9.1875,12.473,,,13.2083,16.95,,,12.3449,19.747,,,12.7917,22.803,,,4.2755,7.1236
7.0833,16.531,,,9.1875,12.484,,,13.2292,16.939,,,12.3496,19.745,,,12.8125,22.789,,,4.2788,7.1226
7.0833,16.531,,,9.1898,12.483,,,13.25,16.929,,,12.3542,19.743,,,12.8333,22.775,,,4.2831,7.1211
7.0938,16.53,,,9.1921,12.483,,,13.2708,16.918,,,12.3611,19.74,,,12.8542,22.762,,,4.2874,7.1197
7.1042,16.529,,,9.1944,12.482,,,13.2917,16.906,,,12.3658,19.738,,,12.865,22.756,,,4.2917,7.1182
7.1111,16.528,,,9.1972,12.481,,,13.3125,16.894,,,12.3704,19.735,,,12.875,22.75,,,4.2986,7.1158
7.1181,16.528,,,9.2009,12.48,,,13.33,16.883,,,12.375,19.733,,,12.8958,22.737,,,4.3032,7.1141
7.125,16.527,,,9.2083,12.477,,,13.3333,16.881,,,12.3819,19.73,,,12.9167,22.725,,,4.3079,7.1124
7.125,16.527,,,9.2083,12.477,,,13.3542,16.869,,,12.3866,19.728,,,12.9375,22.713,,,4.3125,7.1107
7.13,16.527,,,9.2153,12.475,,,13.375,16.856,,,12.3912,19.725,,,12.9583,22.7,,,4.3194,7.1082
7.1379,16.527,,,9.2222,12.473,,,13.3958,16.843,,,12.3958,19.723,,,12.9792,22.688,,,4.3241,7.1065
7.1458,16.526,,,9.2292,12.47,,,13.4167,16.83,,,12.4,19.721,,,13,22.676,,,4.3287,7.1049
7.1458,16.526,,,9.2396,12.467,,,13.4375,16.817,,,12.4083,19.717,,,13.02,22.664,,,4.3333,7.1032
7.1563,16.525,,,9.25,12.463,,,13.4583,16.804,,,12.4167,19.712,,,13.0208,22.664,,,4.3333,7.1032
7.1667,16.525,,,9.2604,12.46,,,13.4792,16.791,,,12.4202,19.711,,,13.0417,22.652,,,4.3356,7.1023
7.1736,16.525,,,9.2708,12.455,,,13.485,16.787,,,12.4245,19.708,,,13.0625,22.639,,,4.3378,7.1014
7.1806,16.525,,,9.2917,12.446,,,13.5,16.778,,,12.431,19.705,,,13.0833,22.627,,,4.34,7.1005
7.1875,16.525,,,9.3,12.449,,,13.5208,16.765,,,12.4375,19.701,,,13.1042,22.616,,,4.3435,7.0991
7.1979,16.525,,,9.3125,12.444,,,13.5417,16.751,,,12.4444,19.698,,,13.125,22.604,,,4.3489,7.097
7.2083,16.525,,,9.3229,12.468,,,13.5625,16.738,,,12.4491,19.696,,,13.1458,22.592,,,4.3542,7.0949
7.2153,16.525,,,9.3264,12.466,,,13.5833,16.724,,,12.4537,19.693,,,13.1667,22.581,,,4.3611,7.0922
7.2222,16.525,,,9.3299,12.465,,,13.6042,16.71,,,12.4583,19.691,,,13.175,22.576,,,4.3634,7.0913
7.2292,16.524,,,9.3333,12.463,,,13.625,16.695,,,12.4653,19.687,,,13.1875,22.569,,,4.3663,7.0902
7.2292,16.524,,,9.3333,12.463,,,13.64,16.686,,,12.4699,19.685,,,13.2083,22.556,,,4.3683,7.0894
7.2396,16.523,,,9.3385,12.461,,,13.6458,16.682,,,12.4746,19.683,,,13.2292,22.544,,,4.3705,7.0886
7.25,16.522,,,9.3438,12.471,,,13.6667,16.669,,,12.4792,19.68,,,13.25,22.533,,,4.375,7.0868
7.2569,16.522,,,9.3472,12.469,,,13.6875,16.656,,,12.4861,19.676,,,13.2708,22.521,,,4.3792,7.0852
7.2639,16.521,,,9.3507,12.492,,,13.7083,16.643,,,12.4908,19.674,,,13.2917,22.509,,,4.3847,7.0831
7.2708,16.52,,,9.3527,12.491,,,13.7292,16.63,,,12.4954,19.672,,,13.3125,22.495,,,4.3958,7.0788
7.2708,16.52,,,9.3542,12.49,,,13.75,16.618,,,12.5,19.669,,,13.33,22.484,,,4.3993,7.0774
7.2756,16.52,,,9.3568,12.489,,,13.7708,16.606,,,12.5069,19.666,,,13.3333,22.482,,,4.4036,7.0757
7.2803,16.519,,,9.3604,12.497,,,13.7917,16.593,,,12.5116,19.663,,,13.3542,22.468,,,4.4102,7.0731
7.285,16.518,,,9.3624,12.496,,,13.795,16.592,,,12.5162,19.661,,,13.375,22.455,,,4.4167,7.0705
7.2917,16.518,,,9.3645,12.495,,,13.8125,16.583,,,12.5208,19.658,,,13.3958,22.44,,,4.4236,7.0678
7.2986,16.517,,,9.3666,12.494,,,13.8333,16.572,,,12.5278,19.655,,,13.4167,22.426,,,4.4282,7.066
7.3032,16.516,,,9.3694,12.493,,,13.8542,16.562,,,12.5324,19.653,,,13.4375,22.412,,,4.4329,7.0641
7.3079,16.516,,,9.3722,12.492,,,13.875,16.552,,,12.5371,19.65,,,13.4583,22.398,,,4.4375,7.0623
7.3125,16.515,,,9.375,12.49,,,13.8958,16.543,,,12.5417,19.648,,,13.4792,22.383,,,4.4375,7.0623
7.3194,16.514,,,9.375,12.49,,,13.9167,16.533,,,12.5483,19.644,,,13.485,22.379,,,4.4398,7.0614
7.3241,16.514,,,9.3792,12.488,,,13.9375,16.524,,,12.555,19.641,,,13.5,22.369,,,4.4429,7.0602
7.3287,16.513,,,9.3847,12.485,,,13.95,16.518,,,12.5625,19.636,,,13.5208,22.354,,,4.4468,7.0586
7.3333,16.513,,,9.3958,12.48,,,13.9583,16.515,,,12.566,19.635,,,13.5417,22.339,,,4.4525,7.0563
7.3403,16.512,,,9.4062,12.475,,,13.9792,16.505,,,12.5703,19.632,,,13.5625,22.324,,,4.4583,7.054
7.3449,16.511,,,9.4167,12.471,,,14,16.496,,,12.5768,19.628,,,13.5833,22.308,,,4.4583,7.054
7.3495,16.511,,,9.4271,12.467,,,14.0208,16.487,,,12.5833,19.624,,,13.6042,22.293,,,4.4607,7.0531
7.3542,16.51,,,9.4375,12.473,,,14.0417,16.473,,,12.5903,19.62,,,13.625,22.278,,,4.4637,7.0519
7.3542,16.51,,,9.455,12.468,,,14.0625,16.461,,,12.5949,19.618,,,13.64,22.267,,,4.4676,7.0503
7.3611,16.509,,,9.4583,12.467,,,14.0833,16.449,,,12.5996,19.616,,,13.6458,22.263,,,4.4734,7.048
7.3681,16.509,,,9.4583,12.467,,,14.1042,16.436,,,12.6042,19.613,,,13.6667,22.248,,,4.4792,7.0457
7.375,16.508,,,9.4653,12.464,,,14.105,16.435,,,12.6111,19.61,,,13.6875,22.233,,,4.4871,7.0425
7.375,16.508,,,9.4722,12.462,,,14.125,16.425,,,12.6158,19.607,,,13.7083,22.219,,,4.495,7.0392
7.3854,16.506,,,9.4792,12.46,,,14.1458,16.413,,,12.6204,19.605,,,13.7292,22.204,,,4.497,7.0383
7.3889,16.506,,,9.4896,12.457,,,14.1667,16.402,,,12.625,19.603,,,13.75,22.19,,,4.5,7.0371
7.3924,16.505,,,9.5,12.454,,,14.1875,16.39,,,12.6319,19.599,,,13.7708,22.175,,,4.5035,7.0356
7.3958,16.505,,,9.5208,12.447,,,14.2083,16.379,,,12.6366,19.597,,,13.7917,22.162,,,4.5078,7.0337
7.3958,16.505,,,9.5417,12.44,,,14.2292,16.368,,,12.6412,19.594,,,13.795,22.16,,,4.5143,7.0308
7.401,16.504,,,9.5625,12.434,,,14.25,16.356,,,12.6458,19.592,,,13.8125,22.151,,,4.5208,7.0279
7.4089,16.504,,,9.5833,12.439,,,14.26,16.351,,,12.6528,19.588,,,13.8333,22.139,,,4.5228,7.027
7.4167,16.503,,,9.6042,12.433,,,14.2708,16.345,,,12.6574,19.586,,,13.8542,22.128,,,4.5255,7.0258
7.4271,16.503,,,9.61,12.431,,,14.2917,16.333,,,12.6621,19.584,,,13.875,22.117,,,4.5288,7.0243
7.4375,16.501,,,9.625,12.427,,,14.3125,16.321,,,12.6667,19.581,,,13.8958,22.106,,,4.5331,7.0224
7.44,16.501,,,9.6458,12.422,,,14.3194,16.316,,,12.6736,19.578,,,13.9167,22.095,,,4.5351,7.0215
7.4461,16.5,,,9.6667,12.427,,,14.3264,16.313,,,12.6783,19.575,,,13.9375,22.084,,,4.5373,7.0205
7.4522,16.499,,,9.6736,12.426,,,14.3333,16.309,,,12.6829,19.573,,,13.95,22.077,,,4.5417,7.0185
7.4583,16.499,,,9.6806,12.424,,,14.3368,16.307,,,12.6875,19.57,,,13.9583,22.073,,,4.5458,7.0166
7.4583,16.499,,,9.6875,12.432,,,14.3411,16.304,,,12.6944,19.566,,,13.9792,22.062,,,4.5514,7.0141
7.4688,16.497,,,9.6875,12.432,,,14.3433,16.302,,,12.6991,19.564,,,14,22.05,,,4.5551,7.0124
7.4722,16.497,,,9.6898,12.432,,,14.346,16.3,,,12.7037,19.562,,,14.0208,22.039,,,4.5588,7.0107
7.4757,16.497,,,9.6929,12.431,,,14.3501,16.298,,,12.7083,19.559,,,14.0417,22.024,,,4.5625,7.0091
7.4792,16.496,,,9.6968,12.43,,,14.3542,16.295,,,12.71,19.559,,,14.0625,22.009,,,4.5694,7.0059
7.4844,16.496,,,9.7025,12.428,,,14.3594,16.292,,,12.7132,19.557,,,14.0833,21.994,,,4.5764,7.0027
7.4922,16.495,,,9.7083,12.437,,,14.3646,16.288,,,12.7172,19.555,,,14.1042,21.98,,,4.5833,6.9994
7.5,16.494,,,9.7083,12.437,,,14.3681,16.286,,,12.7232,19.552,,,14.105,21.98,,,4.5833,6.9994
7.5035,16.494,,,9.7135,12.435,,,14.3715,16.284,,,12.7292,19.549,,,14.125,21.966,,,4.5868,6.9979
7.5078,16.493,,,9.7175,12.434,,,14.375,16.281,,,12.7361,19.546,,,14.1458,21.952,,,4.5912,6.9961
7.5143,16.493,,,9.7214,12.432,,,14.3802,16.278,,,12.7431,19.543,,,14.1667,21.938,,,4.5977,6.9934
7.5208,16.492,,,9.7292,12.439,,,14.3828,16.276,,,12.75,19.54,,,14.1875,21.924,,,4.6042,6.9906
7.5208,16.492,,,9.7361,12.437,,,14.3861,16.274,,,12.7535,19.538,,,14.2083,21.91,,,4.6111,6.9877
7.5278,16.492,,,9.7407,12.436,,,14.3909,16.271,,,12.7578,19.536,,,14.2292,21.896,,,4.625,6.9819
7.5347,16.491,,,9.7454,12.434,,,14.3958,16.268,,,12.7643,19.533,,,14.25,21.882,,,4.6354,6.9775
7.5417,16.491,,,9.75,12.433,,,14.3979,16.266,,,12.7708,19.531,,,14.26,21.875,,,4.6458,6.9731
7.5521,16.491,,,9.7575,12.431,,,14.4008,16.265,,,12.7778,19.528,,,14.2708,21.867,,,4.65,6.9713
7.5625,16.49,,,9.765,12.438,,,14.4043,16.262,,,12.7824,19.525,,,14.2917,21.853,,,4.6667,6.9643
7.5729,16.49,,,9.767,12.438,,,14.4097,16.259,,,12.7871,19.523,,,14.3125,21.837,,,4.6736,6.9614
7.5833,16.489,,,9.7689,12.437,,,14.415,16.255,,,12.7917,19.521,,,14.3333,21.822,,,4.6806,6.9584
7.5872,16.489,,,9.7708,12.448,,,14.4167,16.254,,,12.7986,19.518,,,14.3542,21.806,,,4.6875,6.9554
7.5911,16.488,,,9.7708,12.448,,,14.419,16.252,,,12.8033,19.516,,,14.375,21.79,,,4.6875,6.9554
7.595,16.488,,,9.7728,12.447,,,14.4221,16.25,,,12.8079,19.515,,,14.3958,21.775,,,4.691,6.954
7.6042,16.488,,,9.7755,12.446,,,14.4259,16.247,,,12.8125,19.513,,,14.415,21.759,,,4.6953,6.9521
7.6146,16.487,,,9.7788,12.445,,,14.4279,16.246,,,12.8194,19.51,,,14.4167,21.758,,,4.7018,6.9493
7.625,16.486,,,9.7831,12.444,,,14.4303,16.244,,,12.8241,19.509,,,14.4375,21.741,,,4.7083,6.9465
7.6354,16.486,,,9.7874,12.443,,,14.4339,16.241,,,12.8287,19.507,,,14.4583,21.723,,,4.7083,6.9465
7.6458,16.485,,,9.7917,12.442,,,14.4375,16.239,,,12.8333,19.505,,,14.4792,21.705,,,4.7107,6.9455
7.6528,16.484,,,9.7986,12.44,,,14.4417,16.236,,,12.8403,19.503,,,14.5,21.688,,,4.7137,6.9442
7.6597,16.484,,,9.8125,12.437,,,14.4437,16.235,,,12.8449,19.501,,,14.5208,21.671,,,4.7176,6.9426
7.6667,16.484,,,9.8229,12.435,,,14.4461,16.233,,,12.8496,19.5,,,14.5417,21.655,,,4.7234,6.9402
7.6771,16.483,,,9.8333,12.433,,,14.4492,16.231,,,12.8542,19.498,,,14.5625,21.64,,,4.7292,6.9378
7.6875,16.482,,,9.8542,12.428,,,14.4537,16.228,,,12.8578,19.497,,,14.57,21.633,,,4.7361,6.9349
7.6944,16.482,,,9.875,12.424,,,14.4583,16.225,,,12.8614,19.496,,,14.5744,21.63,,,4.7431,6.9318
7.7014,16.481,,,9.8958,12.421,,,14.4603,16.224,,,12.865,19.494,,,14.5789,21.626,,,4.75,6.9288
7.7083,16.481,,,9.9167,12.417,,,14.463,16.222,,,12.87,19.493,,,14.5833,21.622,,,4.7604,6.9243
7.7083,16.481,,,9.92,12.427,,,14.4662,16.22,,,12.875,19.491,,,14.5903,21.616,,,4.7708,6.92
7.7188,16.479,,,9.9375,12.424,,,14.4706,16.217,,,12.8819,19.488,,,14.5949,21.612,,,4.7778,6.9172
7.7292,16.478,,,9.9479,12.423,,,14.4749,16.214,,,12.8866,19.487,,,14.5996,21.608,,,4.7847,6.9145
7.7361,16.477,,,9.9583,12.421,,,14.4792,16.211,,,12.8912,19.485,,,14.6042,21.604,,,4.7917,6.9117
7.7431,16.476,,,9.9792,12.417,,,14.4815,16.209,,,12.8958,19.484,,,14.6065,21.602,,,4.805,6.9064
7.75,16.475,,,10,12.414,,,14.4846,16.207,,,12.9028,19.481,,,14.6096,21.6,,,4.8125,6.9036
7.7604,16.475,,,10.0208,12.42,,,14.4884,16.205,,,12.9074,19.48,,,14.6134,21.596,,,4.8125,6.9036
7.7708,16.473,,,10.0278,12.419,,,14.4904,16.203,,,12.9121,19.478,,,14.6192,21.592,,,4.8194,6.9011
7.7778,16.472,,,10.0347,12.444,,,14.4928,16.202,,,12.9167,19.476,,,14.625,21.588,,,4.8264,6.8986
7.7847,16.472,,,10.0371,12.444,,,14.4964,16.199,,,12.9236,19.474,,,14.6273,21.586,,,4.8333,6.8962
7.7917,16.471,,,10.0394,12.444,,,14.5,16.197,,,12.9283,19.472,,,14.6304,21.583,,,4.8333,6.8962
7.8021,16.471,,,10.0417,12.443,,,14.5042,16.194,,,12.9329,19.47,,,14.6342,21.58,,,4.8368,6.895
7.8125,16.471,,,10.0459,12.443,,,14.5062,16.193,,,12.9375,19.469,,,14.64,21.576,,,4.8412,6.8936
7.8194,16.47,,,10.0514,12.442,,,14.5086,16.191,,,12.9444,19.466,,,14.6458,21.571,,,4.8477,6.8915
7.8264,16.47,,,10.057,12.441,,,14.5117,16.188,,,12.9491,19.465,,,14.6481,21.569,,,4.8542,6.8893
7.8333,16.47,,,10.0625,12.44,,,14.5137,16.187,,,12.9537,19.463,,,14.6512,21.566,,,4.8611,6.887
7.8333,16.47,,,10.075,12.438,,,14.516,16.185,,,12.9583,19.462,,,14.6551,21.563,,,4.875,6.8826
7.8438,16.469,,,10.0833,12.437,,,14.518,16.183,,,12.9653,19.46,,,14.6571,21.561,,,4.8854,6.8793
7.8542,16.469,,,10.0938,12.435,,,14.5208,16.181,,,12.9699,19.458,,,14.6595,21.559,,,4.8958,6.8759
7.8611,16.468,,,10.1042,12.434,,,14.5243,16.178,,,12.9746,19.457,,,14.6631,21.556,,,4.9028,6.8737
7.8681,16.468,,,10.125,12.431,,,14.5286,16.175,,,12.9792,19.455,,,14.6667,21.553,,,4.9097,6.8713
7.875,16.467,,,10.1458,12.427,,,14.5308,16.174,,,12.9861,19.453,,,14.6709,21.549,,,4.9167,6.869
7.875,16.467,,,10.1667,12.424,,,14.5335,16.172,,,12.9908,19.451,,,14.6729,21.547,,,4.9271,6.8656
7.8854,16.467,,,10.1875,12.431,,,14.5376,16.169,,,12.9954,19.449,,,14.6753,21.545,,,4.9375,6.8625
