NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,,
t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),cum. Flux (cm)
9.145,0,,,12.0729,0,,,15.345,0,,,14.1285,0,,,16.6667,0,,,6.9084,0,18.402
9.1458,0,,,12.0833,0,,,15.3542,0,,,14.1328,0,,,16.6875,0,,,6.9126,0,18.402
9.1528,0,,,12.09,0,,,15.375,0,,,14.1393,0,,,16.7083,0,,,6.9167,0,18.402
9.1574,0,,,12.1042,0,,,15.3958,0,,,14.1458,0,,,16.7292,0,,,6.9236,0,18.402
9.162,0,,,12.1146,0,,,15.4167,0,,,14.1481,0,,,16.74,0,,,6.9306,0,18.402
9.1667,0,,,12.125,0,,,15.4375,0,,,14.1512,0,,,16.75,0,,,6.9375,0,18.402
9.1667,0,,,12.1458,0,,,15.4583,0,,,14.1551,0,,,16.7708,0,,,6.9375,0,18.402
9.1736,0,,,12.1563,0,,,15.4792,0,,,14.1609,0,,,16.7917,0,,,6.941,0,18.402
9.1806,0,,,12.1597,0,,,15.5,0,,,14.1667,0,,,16.8125,0,,,6.9453,0,18.402
9.1875,0,,,12.1632,0,,,15.5208,0,,,14.169,0,,,16.8333,0,,,6.9518,0,18.402
9.1875,0,,,12.1667,0,,,15.5417,0,,,14.1721,0,,,16.8542,0,,,6.9583,0,18.402
9.1979,0,,,12.1709,0,,,15.5625,0,,,14.1759,0,,,16.875,0,,,6.9583,0,18.402
9.2014,0,,,12.175,0,,,15.5833,0,,,14.1817,0,,,16.895,0,,,6.9611,0,18.402
9.2049,0,,,12.1813,0,,,15.6042,0,,,14.1875,0,,,16.8958,0,,,6.9646,0,18.402
9.2083,0,,,12.1875,0,,,15.625,0,,,14.1944,0,,,16.9167,0,,,6.9698,0,18.402
9.2083,0,,,12.1927,0,,,15.6458,0,,,14.2014,0,,,16.9375,0,,,6.975,0,18.402
9.2135,0,,,12.1979,0,,,15.655,0,,,14.2083,0,,,16.9583,0,,,6.9792,0,18.402
9.2188,0,,,12.2083,0,,,15.6667,0,,,14.2118,0,,,16.9792,0,,,6.9861,0,18.402
9.2222,0,,,12.2153,0,,,15.6875,0,,,14.2161,0,,,17,0,,,6.9931,0,18.402
9.2257,0,,,12.2292,0,,,15.7083,0,,,14.2227,0,,,17.0208,0,,,7,0,18.402
9.2292,0,,,12.245,0,,,15.7188,0,,,14.2292,0,,,17.0417,0,,,7.0104,0,18.402
9.2344,0,,,12.25,0,,,15.7292,0,,,14.2315,0,,,17.05,0,,,7.0208,0,18.402
9.2422,0,,,12.2708,0,,,15.75,0,,,14.2346,0,,,17.0625,0,,,7.0313,0,18.402
9.25,0,,,12.2778,0,,,15.7708,0,,,14.2384,0,,,17.0833,0,,,7.0347,0,18.402
9.2535,0,,,12.2847,0,,,15.7917,0,,,14.2442,0,,,17.1042,0,,,7.0382,0,18.402
9.2578,0,,,12.2917,0,,,15.81,0,,,14.25,0,,,17.125,0,,,7.0417,0,18.402
9.2643,0,,,12.3021,0,,,15.8125,0,,,14.255,0,,,17.1458,0,,,7.0469,0,18.402
9.2708,0,,,12.3125,0,,,15.8333,0,,,14.26,0,,,17.1667,0,,,7.0547,0,18.402
9.2708,0,,,12.3229,0,,,15.8542,0,,,14.2636,0,,,17.1875,0,,,7.0625,0,18.402
9.2778,0,,,12.3333,0,,,15.875,0,,,14.2672,0,,,17.205,0,,,7.0729,0,18.402
9.2847,0,,,12.3403,0,,,15.8958,0,,,14.2708,0,,,17.2083,0,,,7.0833,0,18.402
9.2917,0,,,12.3472,0,,,15.9167,0,,,14.2731,0,,,17.2292,0,,,7.0937,0,18.402
9.2944,0,,,12.3542,0,,,15.9375,0,,,14.2762,0,,,17.25,0,,,7.1042,0,18.402
9.2972,0,,,12.3646,0,,,15.9583,0,,,14.2801,0,,,17.2708,0,,,7.125,0,18.402
9.3,0,,,12.375,0,,,15.965,0,,,14.2859,0,,,17.2917,0,,,7.13,0,18.402
9.3042,0,,,12.3854,0,,,15.9792,0,,,14.2917,0,,,17.3125,0,,,7.1353,0,18.402
9.3069,0,,,12.3958,0,,,15.9896,0,,,14.294,0,,,17.3333,0,,,7.1406,0,18.402
9.3097,0,,,12.4,0,,,16,0,,,14.2971,0,,,17.3542,0,,,7.1458,0,18.402
9.3125,0,,,12.4167,0,,,16.0104,0,,,14.3009,0,,,17.36,0,,,7.1458,0,18.402
9.3177,0,,,12.4375,0,,,16.0208,0,,,14.3067,0,,,17.375,0,,,7.1493,0,18.402
9.3229,0,,,12.4583,0,,,16.0313,0,,,14.3125,0,,,17.3958,0,,,7.1537,0,18.402
9.3264,0,,,12.4653,0,,,16.0417,0,,,14.3148,0,,,17.3978,0,,,7.1602,0,18.402
9.3299,0,,,12.4722,0,,,16.0625,0,,,14.3179,0,,,17.3998,0,,,7.1667,0,18.402
9.3333,0,,,12.4792,0,,,16.0833,0,,,14.3217,0,,,17.4018,0,,,7.1736,0,18.402
9.3333,0,,,12.4896,0,,,16.1042,0,,,14.3275,0,,,17.4038,0,,,7.1875,0,18.402
9.3385,0,,,12.5,0,,,16.12,0,,,14.3333,0,,,17.4058,0,,,7.1979,0,18.402
9.3438,0,,,12.5104,0,,,16.125,0,,,14.3356,0,,,17.4078,0,,,7.2083,0,18.402
9.3472,0,,,12.5208,0,,,16.1458,0,,,14.3387,0,,,17.4098,0,,,7.2292,0,18.402
9.3507,0,,,12.5417,0,,,16.1667,0,,,14.3426,0,,,17.4118,0,,,7.25,0,18.402
9.3542,0,,,12.555,0,,,16.1875,0,,,14.3484,0,,,17.4138,0,,,7.2569,0,18.402
9.3594,0,,,12.5625,0,,,16.2083,0,,,14.3542,0,,,17.4158,0,,,7.2639,0,18.402
9.3672,0,,,12.5729,0,,,16.2292,0,,,14.3565,0,,,17.4167,0,,,7.2708,0,18.402
9.375,0,,,12.5833,0,,,16.25,0,,,14.3596,0,,,17.4188,0,,,7.2708,0,18.402
9.375,0,,,12.5938,0,,,16.2569,0,,,14.3634,0,,,17.4209,0,,,7.2756,0,18.402
9.3785,0,,,12.6042,0,,,16.2639,0,,,14.3692,0,,,17.4229,0,,,7.2803,0,18.402
9.3828,0,,,12.625,0,,,16.2708,0,,,14.375,0,,,17.425,0,,,7.285,0,18.402
9.3893,0,,,12.6458,0,,,16.275,0,,,14.3773,0,,,17.4271,0,,,7.2917,0,18.402
9.3958,0,,,12.6528,0,,,16.2806,0,,,14.3804,0,,,17.4292,0,,,7.2986,0,18.402
9.3958,0,,,12.6597,0,,,16.2861,0,,,14.3842,0,,,17.4313,0,,,7.3125,0,18.402
9.4028,0,,,12.6667,0,,,16.2917,0,,,14.39,0,,,17.4333,0,,,7.3229,0,18.402
9.4097,0,,,12.6771,0,,,16.2952,0,,,14.3958,0,,,17.4354,0,,,7.3333,0,18.402
9.4167,0,,,12.6875,0,,,16.2995,0,,,14.3979,0,,,17.4375,0,,,7.3438,0,18.402
9.4201,0,,,12.6979,0,,,16.3017,0,,,14.4008,0,,,17.4401,0,,,7.3542,0,18.402
9.4245,0,,,12.7083,0,,,16.3044,0,,,14.4043,0,,,17.4437,0,,,7.3576,0,18.402
9.431,0,,,12.71,0,,,16.3084,0,,,14.4097,0,,,17.4474,0,,,7.362,0,18.402
9.4375,0,,,12.7292,0,,,16.3125,0,,,14.415,0,,,17.4528,0,,,7.3663,0,18.402
9.4404,0,,,12.75,0,,,16.3177,0,,,14.4167,0,,,17.4583,0,,,7.375,0,18.402
9.4441,0,,,12.7569,0,,,16.3229,0,,,14.419,0,,,17.4625,0,,,7.3819,0,18.402
9.4495,0,,,12.7592,0,,,16.3264,0,,,14.4221,0,,,17.4681,0,,,7.3958,0,18.402
9.455,0,,,12.7621,0,,,16.3298,0,,,14.4259,0,,,17.4736,0,,,7.4063,0,18.402
9.4583,0,,,12.7665,0,,,16.3333,0,,,14.4317,0,,,17.4792,0,,,7.4097,0,18.402
9.4583,0,,,12.7708,0,,,16.3385,0,,,14.4375,0,,,17.4896,0,,,7.4132,0,18.402
9.4653,0,,,12.776,0,,,16.3411,0,,,14.4398,0,,,17.5,0,,,7.4167,0,18.402
9.4722,0,,,12.7839,0,,,16.3444,0,,,14.4429,0,,,17.515,0,,,7.4167,0,18.402
9.4792,0,,,12.7917,0,,,16.3493,0,,,14.4467,0,,,17.5208,0,,,7.4187,0,18.402
9.4861,0,,,12.8021,0,,,16.3542,0,,,14.4525,0,,,17.5417,0,,,7.4214,0,18.402
9.4907,0,,,12.8125,0,,,16.3594,0,,,14.4583,0,,,17.5625,0,,,7.4246,0,18.402
9.4954,0,,,12.8229,0,,,16.362,0,,,14.4606,0,,,17.5833,0,,,7.4289,0,18.402
9.5,0,,,12.8333,0,,,16.3653,0,,,14.4637,0,,,17.6042,0,,,7.4332,0,18.402
9.5069,0,,,12.8542,0,,,16.3701,0,,,14.4676,0,,,17.625,0,,,7.4375,0,18.402
9.5116,0,,,12.865,0,,,16.375,0,,,14.4734,0,,,17.6458,0,,,7.4375,0,18.402
9.5162,0,,,12.875,0,,,16.3802,0,,,14.4792,0,,,17.6667,0,,,7.44,0,18.402
9.5208,0,,,12.8958,0,,,16.3828,0,,,14.4815,0,,,17.67,0,,,7.4492,0,18.402
9.5208,0,,,12.9167,0,,,16.386,0,,,14.4846,0,,,17.6875,0,,,7.4583,0,18.402
9.5278,0,,,12.9236,0,,,16.3909,0,,,14.4884,0,,,17.7083,0,,,7.4583,0,18.402
9.5347,0,,,12.9306,0,,,16.3958,0,,,14.4942,0,,,17.7292,0,,,7.4618,0,18.402
9.5417,0,,,12.9375,0,,,16.401,0,,,14.5,0,,,17.75,0,,,7.4662,0,18.402
9.5451,0,,,12.9479,0,,,16.4036,0,,,14.5023,0,,,17.7708,0,,,7.4727,0,18.402
9.5495,0,,,12.9583,0,,,16.4069,0,,,14.5054,0,,,17.7917,0,,,7.4792,0,18.402
9.556,0,,,12.9687,0,,,16.4118,0,,,14.5092,0,,,17.8125,0,,,7.4861,0,18.402
9.5625,0,,,12.9792,0,,,16.4167,0,,,14.5112,0,,,17.825,0,,,7.5,0,18.402
9.5694,0,,,12.9861,0,,,16.4189,0,,,14.5136,0,,,17.8333,0,,,7.5035,0,18.402
9.5741,0,,,12.9931,0,,,16.4217,0,,,14.5172,0,,,17.8542,0,,,7.5055,0,18.402
9.5787,0,,,13,0,,,16.4258,0,,,14.5208,0,,,17.875,0,,,7.508,0,18.402
9.5833,0,,,13.01,0,,,16.43,0,,,14.525,0,,,17.8958,0,,,7.5112,0,18.402
9.5833,0,,,13.02,0,,,16.4338,0,,,14.5306,0,,,17.9167,0,,,7.516,0,18.402
9.5903,0,,,13.0208,0,,,16.4375,0,,,14.5361,0,,,17.9375,0,,,7.5208,0,18.402
9.5972,0,,,13.0312,0,,,16.4398,0,,,14.5417,0,,,17.9583,0,,,7.5208,0,18.402
9.6042,0,,,13.0417,0,,,16.4429,0,,,14.544,0,,,17.9792,0,,,7.5228,0,18.402
9.61,0,,,13.0625,0,,,16.4467,0,,,14.5471,0,,,17.98,0,,,7.5255,0,18.402
9.615,0,,,13.0833,0,,,16.4487,0,,,14.5509,0,,,18,0,,,7.5288,0,18.402
9.62,0,,,13.1042,0,,,16.4511,0,,,14.5567,0,,,18.0208,0,,,7.5331,0,18.402
9.625,0,,,13.125,0,,,16.4547,0,,,14.5587,0,,,18.0417,0,,,7.5374,0,18.402
9.6285,0,,,13.1458,0,,,16.4583,0,,,14.5625,0,,,18.0625,0,,,7.5417,0,18.402
9.6328,0,,,13.1528,0,,,16.4625,0,,,14.5662,0,,,18.0833,0,,,7.5486,0,18.402
9.6393,0,,,13.1597,0,,,16.4681,0,,,14.57,0,,,18.1042,0,,,7.5625,0,18.402
9.6458,0,,,13.1667,0,,,16.4701,0,,,14.5744,0,,,18.125,0,,,7.5729,0,18.402
9.6528,0,,,13.175,0,,,16.4723,0,,,14.5789,0,,,18.135,0,,,7.5833,0,18.402
9.6574,0,,,13.1875,0,,,16.4758,0,,,14.5833,0,,,18.1458,0,,,7.595,0,18.402
9.662,0,,,13.1979,0,,,16.4792,0,,,14.5856,0,,,18.1667,0,,,7.5981,0,18.402
9.6667,0,,,13.2083,0,,,16.4834,0,,,14.5887,0,,,18.1875,0,,,7.6011,0,18.402
9.6667,0,,,13.2292,0,,,16.4854,0,,,14.5926,0,,,18.2083,0,,,7.6042,0,18.402
9.6736,0,,,13.25,0,,,16.4878,0,,,14.5946,0,,,18.2292,0,,,7.6094,0,18.402
9.6806,0,,,13.2569,0,,,16.4908,0,,,14.597,0,,,18.25,0,,,7.6172,0,18.402
9.6875,0,,,13.2639,0,,,16.4954,0,,,14.6006,0,,,18.2708,0,,,7.625,0,18.402
9.6875,0,,,13.2708,0,,,16.5,0,,,14.6042,0,,,18.29,0,,,7.6354,0,18.402
9.691,0,,,13.2812,0,,,16.502,0,,,14.6084,0,,,18.2917,0,,,7.6458,0,18.402
9.6953,0,,,13.2917,0,,,16.5047,0,,,14.6104,0,,,18.3125,0,,,7.6562,0,18.402
9.7018,0,,,13.3021,0,,,16.5079,0,,,14.6128,0,,,18.3333,0,,,7.6667,0,18.402
9.7083,0,,,13.3125,0,,,16.5122,0,,,14.6158,0,,,18.3542,0,,,7.6875,0,18.402
9.7083,0,,,13.33,0,,,16.5165,0,,,14.6204,0,,,18.375,0,,,7.7083,0,18.402
9.7153,0,,,13.3333,0,,,16.5208,0,,,14.625,0,,,18.3958,0,,,7.7153,0,18.402
9.7222,0,,,13.3368,0,,,16.5231,0,,,14.6302,0,,,18.4167,0,,,7.7222,0,18.402
9.7292,0,,,13.3411,0,,,16.5262,0,,,14.6328,0,,,18.4375,0,,,7.7292,0,18.402
9.7326,0,,,13.3477,0,,,16.5301,0,,,14.636,0,,,18.445,0,,,7.7396,0,18.402
9.737,0,,,13.3542,0,,,16.5321,0,,,14.6409,0,,,18.4583,0,,,7.75,0,18.402
9.7435,0,,,13.3611,0,,,16.5345,0,,,14.6458,0,,,18.4792,0,,,7.7708,0,18.402
9.75,0,,,13.375,0,,,16.5381,0,,,14.6478,0,,,18.5,0,,,7.7917,0,18.402
9.7575,0,,,13.3854,0,,,16.5417,0,,,14.6505,0,,,18.5208,0,,,7.7986,0,18.402
9.765,0,,,13.3958,0,,,16.5459,0,,,14.6537,0,,,18.5417,0,,,7.8056,0,18.402
9.7708,0,,,13.4167,0,,,16.5479,0,,,14.6581,0,,,18.5625,0,,,7.8125,0,18.402
9.7708,0,,,13.4236,0,,,16.5503,0,,,14.6624,0,,,18.5833,0,,,7.8229,0,18.402
9.7743,0,,,13.4259,0,,,16.5533,0,,,14.6667,0,,,18.6,0,,,7.8333,0,18.402
9.7787,0,,,13.4283,0,,,16.5579,0,,,14.669,0,,,18.6042,0,,,7.8542,0,18.402
9.7852,0,,,13.4306,0,,,16.5599,0,,,14.6721,0,,,18.625,0,,,7.875,0,18.402
9.7917,0,,,13.434,0,,,16.5625,0,,,14.6759,0,,,18.6458,0,,,7.8819,0,18.402
9.7986,0,,,13.4375,0,,,16.5651,0,,,14.6779,0,,,18.6667,0,,,7.8889,0,18.402
9.8032,0,,,13.4417,0,,,16.5687,0,,,14.6803,0,,,18.6875,0,,,7.8958,0,18.402
9.8079,0,,,13.4472,0,,,16.5707,0,,,14.6839,0,,,18.7083,0,,,7.8958,0,18.402
9.8125,0,,,13.4509,0,,,16.5733,0,,,14.6875,0,,,18.7292,0,,,7.8989,0,18.402
9.8194,0,,,13.4546,0,,,16.5766,0,,,14.6917,0,,,18.75,0,,,7.9019,0,18.402
9.8241,0,,,13.4583,0,,,16.58,0,,,14.6937,0,,,18.755,0,,,7.905,0,18.402
9.8287,0,,,13.4625,0,,,16.5833,0,,,14.6961,0,,,18.7708,0,,,7.9108,0,18.402
9.8333,0,,,13.4681,0,,,16.585,0,,,14.6992,0,,,18.7917,0,,,7.9167,0,18.402
9.8333,0,,,13.4792,0,,,16.5871,0,,,14.7037,0,,,18.8125,0,,,7.9236,0,18.402
9.8403,0,,,13.485,0,,,16.59,0,,,14.7083,0,,,18.8333,0,,,7.9306,0,18.402
9.8449,0,,,13.5,0,,,16.5935,0,,,14.7103,0,,,18.8542,0,,,7.9375,0,18.402
9.8495,0,,,13.5104,0,,,16.5955,0,,,14.7127,0,,,18.875,0,,,7.9479,0,18.402
9.8542,0,,,13.5208,0,,,16.5984,0,,,14.7158,0,,,18.8958,0,,,7.9583,0,18.402
9.8611,0,,,13.5417,0,,,16.6013,0,,,14.7204,0,,,18.91,0,,,7.9792,0,18.402
9.8657,0,,,13.5625,0,,,16.6042,0,,,14.725,0,,,18.9167,0,,,8,0,18.402
9.8704,0,,,13.5833,0,,,16.6062,0,,,14.7292,0,,,18.9375,0,,,8.0069,0,18.402
9.875,0,,,13.6042,0,,,16.6089,0,,,14.7344,0,,,18.9583,0,,,8.0139,0,18.402
9.875,0,,,13.625,0,,,16.6121,0,,,14.737,0,,,18.9792,0,,,8.0208,0,18.402
9.8819,0,,,13.64,0,,,16.6141,0,,,14.7403,0,,,19,0,,,8.0208,0,18.402
9.8889,0,,,13.6458,0,,,16.6168,0,,,14.7451,0,,,19.0208,0,,,8.0243,0,18.402
9.8958,0,,,13.6667,0,,,16.6188,0,,,14.75,0,,,19.0417,0,,,8.0287,0,18.402
9.8958,0,,,13.6875,0,,,16.6219,0,,,14.752,0,,,19.0625,0,,,8.0352,0,18.402
9.8993,0,,,13.7083,0,,,16.625,0,,,14.7547,0,,,19.065,0,,,8.0417,0,18.402
9.9037,0,,,13.7153,0,,,16.6285,0,,,14.7579,0,,,19.0833,0,,,8.0508,0,18.402
9.9102,0,,,13.7222,0,,,16.6305,0,,,14.7622,0,,,19.1042,0,,,8.06,0,18.402
9.9167,0,,,13.7292,0,,,16.633,0,,,14.7665,0,,,19.125,0,,,8.0625,0,18.402
9.92,0,,,13.7327,0,,,16.6362,0,,,14.7708,0,,,19.1458,0,,,8.0729,0,18.402
9.9288,0,,,13.7361,0,,,16.6382,0,,,14.7731,0,,,19.1667,0,,,8.0833,0,18.402
9.9375,0,,,13.7396,0,,,16.6407,0,,,14.7762,0,,,19.1875,0,,,8.0938,0,18.402
9.941,0,,,13.7448,0,,,16.6427,0,,,14.7801,0,,,19.2083,0,,,8.1042,0,18.402
9.9453,0,,,13.75,0,,,16.6458,0,,,14.7821,0,,,19.22,0,,,8.125,0,18.402
9.9518,0,,,13.7552,0,,,16.6493,0,,,14.7845,0,,,19.2292,0,,,8.1458,0,18.402
9.9583,0,,,13.7591,0,,,16.6513,0,,,14.7881,0,,,19.25,0,,,8.1667,0,18.402
9.9583,0,,,13.763,0,,,16.6539,0,,,14.7917,0,,,19.2708,0,,,8.1771,0,18.402
9.9653,0,,,13.7708,0,,,16.6571,0,,,14.7959,0,,,19.2917,0,,,8.1875,0,18.402
9.9699,0,,,13.7778,0,,,16.6591,0,,,14.7979,0,,,19.3125,0,,,8.1944,0,18.402
9.9745,0,,,13.7847,0,,,16.6616,0,,,14.8003,0,,,19.3333,0,,,8.2014,0,18.402
9.9792,0,,,13.7917,0,,,16.6642,0,,,14.8033,0,,,19.3542,0,,,8.2083,0,18.402
9.9861,0,,,13.795,0,,,16.6667,0,,,14.8079,0,,,19.375,0,,,8.2083,0,18.402
9.9907,0,,,13.8125,0,,,16.6687,0,,,14.8125,0,,,19.3854,0,,,8.2106,0,18.402
9.9954,0,,,13.8333,0,,,16.6714,0,,,14.8177,0,,,19.3958,0,,,8.2128,0,18.402
10,0,,,13.8542,0,,,16.6746,0,,,14.8203,0,,,19.4062,0,,,8.215,0,18.402
10.0069,0,,,13.875,0,,,16.6766,0,,,14.8235,0,,,19.4167,0,,,8.2185,0,18.402
10.0116,0,,,13.8958,0,,,16.6793,0,,,14.8284,0,,,19.4271,0,,,8.2239,0,18.402
10.0162,0,,,13.9167,0,,,16.6813,0,,,14.8333,0,,,19.4375,0,,,8.2292,0,18.402
10.0208,0,,,13.9375,0,,,16.6844,0,,,14.8385,0,,,19.4479,0,,,8.2361,0,18.402
10.0278,0,,,13.9417,0,,,16.6875,0,,,14.8411,0,,,19.4583,0,,,8.2431,0,18.402
10.0324,0,,,13.9458,0,,,16.691,0,,,14.8444,0,,,19.4687,0,,,8.25,0,18.402
10.0371,0,,,13.95,0,,,16.693,0,,,14.8493,0,,,19.4792,0,,,8.2604,0,18.402
10.0417,0,,,13.9583,0,,,16.6955,0,,,14.8542,0,,,19.4896,0,,,8.2708,0,18.402
10.0486,0,,,13.9687,0,,,16.6987,0,,,14.8562,0,,,19.5,0,,,8.2917,0,18.402
10.0533,0,,,13.9792,0,,,16.7007,0,,,14.8589,0,,,19.5208,0,,,8.3125,0,18.402
10.0579,0,,,13.9896,0,,,16.7032,0,,,14.8621,0,,,19.53,0,,,8.3194,0,18.402
10.0625,0,,,14,0,,,16.7052,0,,,14.8664,0,,,19.5417,0,,,8.3264,0,18.402
10.0688,0,,,14.0104,0,,,16.7083,0,,,14.8707,0,,,19.5625,0,,,8.3333,0,18.402
10.075,0,,,14.0208,0,,,16.7118,0,,,14.875,0,,,19.5833,0,,,8.3333,0,18.402
10.0833,0,,,14.0312,0,,,16.7138,0,,,14.88,0,,,19.6042,0,,,8.3368,0,18.402
10.0868,0,,,14.0417,0,,,16.7164,0,,,14.8826,0,,,19.625,0,,,8.3412,0,18.402
10.0911,0,,,14.0625,0,,,16.7196,0,,,14.8859,0,,,19.6458,0,,,8.3477,0,18.402
10.0977,0,,,14.0694,0,,,16.7216,0,,,14.8909,0,,,19.6667,0,,,8.3542,0,18.402
10.1042,0,,,14.0764,0,,,16.7241,0,,,14.8958,0,,,19.685,0,,,8.3621,0,18.402
10.1111,0,,,14.0833,0,,,16.7267,0,,,14.8978,0,,,19.6875,0,,,8.37,0,18.402
10.1158,0,,,14.0938,0,,,16.7292,0,,,14.9005,0,,,19.7083,0,,,8.375,0,18.402
10.1204,0,,,14.0972,0,,,16.7312,0,,,14.9037,0,,,19.7188,0,,,8.3854,0,18.402
10.125,0,,,14.1007,0,,,16.7341,0,,,14.9081,0,,,19.7292,0,,,8.3958,0,18.402
10.1319,0,,,14.1042,0,,,16.7371,0,,,14.9124,0,,,19.75,0,,,8.4062,0,18.402
10.1366,0,,,14.105,0,,,16.74,0,,,14.9167,0,,,19.7708,0,,,8.4167,0,18.402
10.1412,0,,,14.107,0,,,16.742,0,,,14.919,0,,,19.7917,0,,,8.4375,0,18.402
10.1458,0,,,14.109,0,,,16.7447,0,,,14.9221,0,,,19.8021,0,,,8.4444,0,18.402
10.1528,0,,,14.111,0,,,16.7473,0,,,14.9259,0,,,19.8125,0,,,8.4468,0,18.402
10.1574,0,,,14.1138,0,,,16.75,0,,,14.9279,0,,,19.8229,0,,,8.4488,0,18.402
10.1621,0,,,14.1175,0,,,16.752,0,,,14.9303,0,,,19.8333,0,,,8.4512,0,18.402
10.1667,0,,,14.1213,0,,,16.7547,0,,,14.9339,0,,,19.84,0,,,8.4547,0,18.402
10.1736,0,,,14.125,0,,,16.7579,0,,,14.9375,0,,,19.8542,0,,,8.4583,0,18.402
10.1783,0,,,14.1302,0,,,16.7599,0,,,14.9417,0,,,19.875,0,,,8.4583,0,18.402
10.1829,0,,,14.138,0,,,16.7626,0,,,14.9437,0,,,19.8958,0,,,8.4603,0,18.402
10.1875,0,,,14.1458,0,,,16.7646,0,,,14.9461,0,,,19.9063,0,,,8.463,0,18.402
10.1944,0,,,14.1563,0,,,16.7677,0,,,14.9492,0,,,19.9167,0,,,8.4663,0,18.402
10.1991,0,,,14.1667,0,,,16.7708,0,,,14.9512,0,,,19.9271,0,,,8.4706,0,18.402
10.2037,0,,,14.1771,0,,,16.7743,0,,,14.9535,0,,,19.9375,0,,,8.4749,0,18.402
10.2083,0,,,14.1875,0,,,16.7763,0,,,14.9555,0,,,19.9583,0,,,8.4792,0,18.402
10.2153,0,,,14.2083,0,,,16.7789,0,,,14.9583,0,,,19.9688,0,,,8.4861,0,18.402
10.2199,0,,,14.2188,0,,,16.7821,0,,,14.9618,0,,,19.9792,0,,,8.5,0,18.402
10.2246,0,,,14.2292,0,,,16.7841,0,,,14.9661,0,,,19.995,0,,,8.5104,0,18.402
10.2292,0,,,14.2344,0,,,16.7866,0,,,14.9683,0,,,20,0,,,8.5139,0,18.402
10.23,0,,,14.2422,0,,,16.7892,0,,,14.971,0,,,20.0208,0,,,8.5174,0,18.402
10.2367,0,,,14.25,0,,,16.7917,0,,,14.9751,0,,,20.0417,0,,,8.5208,0,18.402
10.2411,0,,,14.26,0,,,16.7937,0,,,14.9792,0,,,20.0625,0,,,8.5208,0,18.402
10.2456,0,,,14.2708,0,,,16.7964,0,,,14.9827,0,,,20.0833,0,,,8.5228,0,18.402
10.25,0,,,14.2813,0,,,16.7996,0,,,14.987,0,,,20.1042,0,,,8.525,0,18.402
10.2569,0,,,14.2917,0,,,16.8016,0,,,14.9935,0,,,20.125,0,,,8.5278,0,18.402
10.2616,0,,,14.3125,0,,,16.8043,0,,,15,0,,,20.1458,0,,,8.5313,0,18.402
10.2662,0,,,14.3333,0,,,16.8063,0,,,15.0023,0,,,20.15,0,,,8.5365,0,18.402
10.2708,0,,,14.3403,0,,,16.8094,0,,,15.0054,0,,,20.1667,0,,,8.5417,0,18.402
10.2778,0,,,14.3426,0,,,16.8125,0,,,15.0092,0,,,20.1875,0,,,8.5469,0,18.402
10.2824,0,,,14.3449,0,,,16.816,0,,,15.0112,0,,,20.2083,0,,,8.5547,0,18.402
10.2871,0,,,14.3472,0,,,16.818,0,,,15.0136,0,,,20.2292,0,,,8.5625,0,18.402
10.2917,0,,,14.3507,0,,,16.8205,0,,,15.0172,0,,,20.25,0,,,8.5729,0,18.402
10.2986,0,,,14.3542,0,,,16.8237,0,,,15.0208,0,,,20.2708,0,,,8.5833,0,18.402
10.3033,0,,,14.3584,0,,,16.8257,0,,,15.0228,0,,,20.2917,0,,,8.5938,0,18.402
10.3079,0,,,14.3639,0,,,16.8282,0,,,15.0248,0,,,20.305,0,,,8.6042,0,18.402
10.3125,0,,,14.3695,0,,,16.8302,0,,,15.0268,0,,,20.3125,0,,,8.625,0,18.402
10.3194,0,,,14.375,0,,,16.8333,0,,,15.0288,0,,,20.3333,0,,,8.6285,0,18.402
10.3241,0,,,14.3854,0,,,16.8368,0,,,15.0308,0,,,20.3542,0,,,8.6305,0,18.402
10.3287,0,,,14.3958,0,,,16.8388,0,,,15.0328,0,,,20.375,0,,,8.633,0,18.402
10.3333,0,,,14.4054,0,,,16.8414,0,,,15.0348,0,,,20.3958,0,,,8.6356,0,18.402
10.3403,0,,,14.415,0,,,16.8446,0,,,15.035,0,,,20.4167,0,,,8.639,0,18.402
10.3449,0,,,14.4167,0,,,16.8466,0,,,15.037,0,,,20.4375,0,,,8.6424,0,18.402
10.3496,0,,,14.4375,0,,,16.8491,0,,,15.039,0,,,20.4583,0,,,8.6458,0,18.402
10.3542,0,,,14.4444,0,,,16.8517,0,,,15.041,0,,,20.46,0,,,8.6458,0,18.402
10.3611,0,,,14.4467,0,,,16.8542,0,,,15.0417,0,,,20.4792,0,,,8.651,0,18.402
10.3658,0,,,14.4491,0,,,16.8562,0,,,15.0438,0,,,20.4896,0,,,8.6563,0,18.402
10.3704,0,,,14.4514,0,,,16.8589,0,,,15.0459,0,,,20.5,0,,,8.6667,0,18.402
10.375,0,,,14.4548,0,,,16.8621,0,,,15.0479,0,,,20.5208,0,,,8.68,0,18.402
10.3783,0,,,14.4583,0,,,16.8641,0,,,15.05,0,,,20.5417,0,,,8.6875,0,18.402
