NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,,
t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),cum. Flux (cm)
0.4583,0,,,0.4444,0,,,0.8542,0,,,0.8333,0,,,0.8333,0,,,0.3906,0,18.402
0.465,0,,,0.4491,0,,,0.875,0,,,0.8542,0,,,0.8542,0,,,0.3958,0,18.402
0.4792,0,,,0.4583,0,,,0.8958,0,,,0.875,0,,,0.875,0,,,0.4062,0,18.402
0.4896,0,,,0.465,0,,,0.9167,0,,,0.8958,0,,,0.8958,0,,,0.4167,0,18.402
0.5,0,,,0.4721,0,,,0.93,0,,,0.9167,0,,,0.9167,0,,,0.4255,0,18.402
0.5104,0,,,0.4792,0,,,0.9375,0,,,0.93,0,,,0.93,0,,,0.4375,0,18.402
0.5208,0,,,0.4884,0,,,0.9583,0,,,0.9375,0,,,0.9375,0,,,0.4463,0,18.402
0.5313,0,,,0.5,0,,,0.9792,0,,,0.9583,0,,,0.9583,0,,,0.4523,0,18.402
0.5417,0,,,0.5093,0,,,1,0,,,0.9792,0,,,0.9792,0,,,0.4583,0,18.402
0.5521,0,,,0.515,0,,,1.0208,0,,,1,0,,,1,0,,,0.465,0,18.402
0.5625,0,,,0.5208,0,,,1.0417,0,,,1.0208,0,,,1.0208,0,,,0.4721,0,18.402
0.5833,0,,,0.5273,0,,,1.0625,0,,,1.0417,0,,,1.0417,0,,,0.4792,0,18.402
0.6042,0,,,0.5345,0,,,1.0833,0,,,1.0625,0,,,1.0625,0,,,0.4861,0,18.402
0.62,0,,,0.5417,0,,,1.085,0,,,1.0833,0,,,1.0833,0,,,0.4931,0,18.402
0.625,0,,,0.5481,0,,,1.1042,0,,,1.085,0,,,1.085,0,,,0.5,0,18.402
0.6458,0,,,0.5553,0,,,1.125,0,,,1.1042,0,,,1.1042,0,,,0.5,0,18.402
0.6667,0,,,0.5625,0,,,1.1458,0,,,1.125,0,,,1.125,0,,,0.5035,0,18.402
0.6771,0,,,0.5729,0,,,1.1667,0,,,1.1458,0,,,1.1458,0,,,0.5069,0,18.402
0.6875,0,,,0.5833,0,,,1.1875,0,,,1.1667,0,,,1.1667,0,,,0.5116,0,18.402
0.7083,0,,,0.6042,0,,,1.2083,0,,,1.1875,0,,,1.1875,0,,,0.5162,0,18.402
0.7188,0,,,0.62,0,,,1.2292,0,,,1.2083,0,,,1.2083,0,,,0.5208,0,18.402
0.7292,0,,,0.625,0,,,1.24,0,,,1.2292,0,,,1.2292,0,,,0.5208,0,18.402
0.7396,0,,,0.625,0,,,1.25,0,,,1.24,0,,,1.24,0,,,0.5278,0,18.402
0.75,0,,,0.6458,0,,,1.2708,0,,,1.25,0,,,1.25,0,,,0.5324,0,18.402
0.7708,0,,,0.6562,0,,,1.2917,0,,,1.2708,0,,,1.2708,0,,,0.5417,0,18.402
0.775,0,,,0.6667,0,,,1.3125,0,,,1.2917,0,,,1.2917,0,,,0.5451,0,18.402
0.7917,0,,,0.6771,0,,,1.3333,0,,,1.3125,0,,,1.3125,0,,,0.5471,0,18.402
0.8125,0,,,0.6875,0,,,1.3542,0,,,1.3333,0,,,1.3333,0,,,0.5497,0,18.402
0.8333,0,,,0.7083,0,,,1.375,0,,,1.3542,0,,,1.3542,0,,,0.5523,0,18.402
0.8542,0,,,0.7187,0,,,1.395,0,,,1.375,0,,,1.375,0,,,0.5557,0,18.402
0.875,0,,,0.7292,0,,,1.3958,0,,,1.395,0,,,1.395,0,,,0.5591,0,18.402
0.8958,0,,,0.7396,0,,,1.4167,0,,,1.3958,0,,,1.3958,0,,,0.5625,0,18.402
0.9167,0,,,0.75,0,,,1.4375,0,,,1.4167,0,,,1.3958,0,,,0.5677,0,18.402
0.93,0,,,0.7604,0,,,1.4583,0,,,1.4375,0,,,1.4167,0,,,0.5755,0,18.402
0.9375,0,,,0.7708,0,,,1.4792,0,,,1.4583,0,,,1.4375,0,,,0.5833,0,18.402
0.9583,0,,,0.775,0,,,1.5,0,,,1.4792,0,,,1.4583,0,,,0.5937,0,18.402
0.9792,0,,,0.7917,0,,,1.5208,0,,,1.5,0,,,1.4687,0,,,0.6042,0,18.402
1,0,,,0.8125,0,,,1.5417,0,,,1.5208,0,,,1.4792,0,,,0.62,0,18.402
